#Date,news pleasantness,news attention,news sensitivity,news aptitude,news polarity,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2009-02-23,-5.398,19.836,28.99,8.146,7.26,35.647,5.627,17.189,41.201,37.265,-2
2009-02-24,18.11,8.151,45.738,28.338,25.116,-5.398,19.836,28.99,8.146,7.26,2
2009-02-25,27.515,25.204,5.65,32.475,28.099,18.11,8.151,45.738,28.338,25.116,-1
2009-02-26,15.774,26.117,12.853,52.132,37.801,27.515,25.204,5.65,32.475,28.099,-1
2009-02-27,2.638,-6.11,7.907,22.827,11.993,15.774,26.117,12.853,52.132,37.801,-1
2009-03-02,10.336,23.121,8.724,12.256,10.504,31.17,5.737,13.952,44.685,39.351,-2
2009-03-03,11.759,14.337,13.107,29.787,23.829,10.336,23.121,8.724,12.256,10.504,-1
2009-03-04,7.9,-6.925,19.43,26.561,18.779,11.759,14.337,13.107,29.787,23.829,2
2009-03-05,40.142,8.965,17.572,40.113,42.653,7.9,-6.925,19.43,26.561,18.779,-2
2009-03-06,27.903,-3.539,19.228,39.568,31.997,40.142,8.965,17.572,40.113,42.653,1
2009-03-09,6.838,30.994,8.178,16.121,11.567,-5.8,17.758,14.51,10.819,5.348,-1
2009-03-10,-6.6,0.604,31.005,-10.312,-6.229,6.838,30.994,8.178,16.121,11.567,2
2009-03-11,-13.397,9.244,17.726,7.776,-0.473,-6.6,0.604,31.005,-10.312,-6.229,0
2009-03-12,4.024,25.243,11.294,14.315,9.519,-13.397,9.244,17.726,7.776,-0.473,2
2009-03-13,4.605,7.485,4.307,9.96,9.002,4.024,25.243,11.294,14.315,9.519,1
2009-03-16,42.967,12.891,33.606,56.324,52.416,25.292,21.839,21.732,28.768,30.659,0
2009-03-17,7.822,28.888,36.41,0.72,5.315,42.967,12.891,33.606,56.324,52.416,2
2009-03-18,25.698,-4.913,16.272,33.573,30.192,7.822,28.888,36.41,0.72,5.315,1
2009-03-19,-3.526,20.019,15.973,21.219,13.997,25.698,-4.913,16.272,33.573,30.192,-1
2009-03-20,26.081,5.381,10.949,38.656,32.968,-3.526,20.019,15.973,21.219,13.997,-1
2009-03-23,38.373,7.708,18.985,45.744,45.475,11.975,-7.467,21.061,28.8,21.12,2
2009-03-24,52.493,39.205,10.773,48.784,52.688,38.373,7.708,18.985,45.744,45.475,-1
2009-03-25,32.349,8.931,18.684,40.223,32.989,52.493,39.205,10.773,48.784,52.688,1
2009-03-26,10.157,17.153,20.045,16.137,17.261,32.349,8.931,18.684,40.223,32.989,2
2009-03-27,35.995,17.703,21,28.431,32.543,10.157,17.153,20.045,16.137,17.261,-2
2009-03-30,21.205,6.668,31.259,18.679,20.44,18.539,12.831,14.888,-6.873,4.045,-2
2009-03-31,9.436,14.591,32.429,24.835,18.33,21.205,6.668,31.259,18.679,20.44,1
2009-04-01,11.76,-8.527,24.891,24.072,15.453,9.436,14.591,32.429,24.835,18.33,2
2009-04-02,-11.388,-2.506,16.403,-1.304,-4.306,11.76,-8.527,24.891,24.072,15.453,2
2009-04-03,21.73,-7.252,28.24,26.878,23.679,-11.388,-2.506,16.403,-1.304,-4.306,1
2009-04-06,-8.904,17.947,5.98,11.695,3.411,1.434,20.637,25.3,20.602,17.012,-1
2009-04-07,22.585,16.55,20.74,51.284,40.091,-8.904,17.947,5.98,11.695,3.411,-2
2009-04-08,22.612,18.717,24.952,23.879,23.944,22.585,16.55,20.74,51.284,40.091,1
2009-04-09,5.598,15.509,20.346,19.408,16.231,22.612,18.717,24.952,23.879,23.944,2
2009-04-13,-1.622,18.455,11.379,14.392,8.162,25.151,16.605,10.141,37.344,34.053,-1
2009-04-14,40.503,-6.444,7.353,50.148,44.361,-1.622,18.455,11.379,14.392,8.162,-1
2009-04-15,20.715,22.891,29.939,28.184,24.304,40.503,-6.444,7.353,50.148,44.361,1
2009-04-16,5.619,9.779,27.391,19.313,14.878,20.715,22.891,29.939,28.184,24.304,1
2009-04-17,16.429,-8.436,16.042,22.945,19.098,5.619,9.779,27.391,19.313,14.878,0
2009-04-20,26.207,16.514,14.936,30.607,24.814,14.863,18.65,13.19,24.256,20.596,-2
2009-04-21,23.051,9.735,16.703,26.359,27.188,26.207,16.514,14.936,30.607,24.814,1
2009-04-22,38.612,1.927,24.433,34.865,37.402,23.051,9.735,16.703,26.359,27.188,-1
2009-04-23,11.506,-2.246,30.366,11.705,11.162,38.612,1.927,24.433,34.865,37.402,1
2009-04-24,9.135,4.022,15.194,-3.421,2.05,11.506,-2.246,30.366,11.705,11.162,1
2009-04-27,35.254,25.646,-13.263,33.748,37.083,40.38,62.243,9.098,18.486,28.771,-1
2009-04-28,63.955,-1.984,-5.384,72.89,65.231,35.254,25.646,-13.263,33.748,37.083,0
2009-04-29,19.527,17.808,13.056,25.702,27.55,63.955,-1.984,-5.384,72.89,65.231,2
2009-04-30,13.624,13.602,15.794,16.84,17.725,19.527,17.808,13.056,25.702,27.55,-1
2009-05-01,7.051,-0.35,9.94,26.231,15.352,13.624,13.602,15.794,16.84,17.725,1
2009-05-04,27.059,11.227,16.168,29.129,27.516,12.438,35.075,9.938,28.195,24.618,2
2009-05-05,15.322,16.498,19.538,12.083,20.129,27.059,11.227,16.168,29.129,27.516,-1
2009-05-06,25,4.919,5.609,28.777,26.49,15.322,16.498,19.538,12.083,20.129,1
2009-05-07,-0.941,0.837,24.323,1.022,0.504,25,4.919,5.609,28.777,26.49,-1
2009-05-08,-0.973,40.25,0.881,1.431,3.084,-0.941,0.837,24.323,1.022,0.504,2
2009-05-11,36.282,33.68,28.172,41.361,42.609,-0.295,5.886,-4.734,9.792,9.117,-2
2009-05-12,8.498,26.101,23.424,13.601,10.492,36.282,33.68,28.172,41.361,42.609,1
2009-05-13,52.095,7.028,5.505,39.682,40.509,8.498,26.101,23.424,13.601,10.492,-2
2009-05-14,13.283,16.803,14.519,27.729,22.035,52.095,7.028,5.505,39.682,40.509,1
2009-05-15,-1.875,17.423,33.929,16.307,7.236,13.283,16.803,14.519,27.729,22.035,-1
2009-05-18,10.728,22.086,20.884,33.152,25.275,27.681,22.121,4.761,15.456,24.73,2
2009-05-19,2.849,1.735,12.716,32.728,15.659,10.728,22.086,20.884,33.152,25.275,-1
2009-05-20,13.731,12.115,43.548,23.886,22.968,2.849,1.735,12.716,32.728,15.659,-1
2009-05-21,-1.997,13.581,19.174,6.079,0.817,13.731,12.115,43.548,23.886,22.968,-1
2009-05-22,14.656,6.316,8.921,8.888,9.826,-1.997,13.581,19.174,6.079,0.817,-1
2009-05-26,19.949,18,24.344,25.724,25.223,27.492,1.292,4.905,35.374,33.271,2
2009-05-27,-1.25,22.047,10.537,10.598,5.746,19.949,18,24.344,25.724,25.223,-2
2009-05-28,15.96,29.582,28.612,27.532,25.118,-1.25,22.047,10.537,10.598,5.746,1
2009-05-29,13.33,19.453,29.205,26.949,18.664,15.96,29.582,28.612,27.532,25.118,1
2009-06-01,28.915,14.883,8.994,43.301,41.744,25.771,10.368,17.794,34.031,32.002,2
2009-06-02,15.402,14.968,25.428,38.362,32.805,28.915,14.883,8.994,43.301,41.744,1
2009-06-03,13.116,10.06,20.474,29.075,24.943,15.402,14.968,25.428,38.362,32.805,-1
2009-06-04,43.829,32.694,33.824,72.429,60.515,13.116,10.06,20.474,29.075,24.943,1
2009-06-05,30.373,30.356,17.01,47.186,40.132,43.829,32.694,33.824,72.429,60.515,0
2009-06-08,22.587,11.391,19.702,28.979,28.272,17.768,21.097,-2.988,3.54,9.511,0
2009-06-09,17.198,15.883,15.438,22.075,20.377,22.587,11.391,19.702,28.979,28.272,0
2009-06-10,38.032,19.675,7.777,65.443,54.546,17.198,15.883,15.438,22.075,20.377,-1
2009-06-11,33.643,24.909,19.804,46.972,43.729,38.032,19.675,7.777,65.443,54.546,1
2009-06-12,29.395,-8.786,0.343,43.341,41.079,33.643,24.909,19.804,46.972,43.729,1
2009-06-15,13.507,19.041,24.708,50.462,33.702,5.354,8.628,22.676,14.624,13.571,-2
2009-06-16,13.285,9.256,27.461,41.699,24.203,13.507,19.041,24.708,50.462,33.702,-1
2009-06-17,18.916,19.693,22.219,32.578,24.182,13.285,9.256,27.461,41.699,24.203,0
2009-06-18,29.201,2.905,49.89,61.276,43.109,18.916,19.693,22.219,32.578,24.182,1
2009-06-19,21.585,7.317,29.639,40.658,34.889,29.201,2.905,49.89,61.276,43.109,-1
2009-06-22,17.387,33.788,26.617,40.337,31.506,17.927,1.351,10.538,42.206,28.844,-2
2009-06-23,-2.297,14.525,21.592,18.872,5.901,17.387,33.788,26.617,40.337,31.506,-1
2009-06-24,4.787,20.32,19.49,13.173,5.375,-2.297,14.525,21.592,18.872,5.901,-1
2009-06-25,50.332,11.74,-1.537,70.917,63.651,4.787,20.32,19.49,13.173,5.375,2
2009-06-26,6.946,12.32,28.488,25.117,16.506,50.332,11.74,-1.537,70.917,63.651,-1
2009-06-29,-1.429,5.217,18.643,13.045,7.504,-9.504,16.28,23.764,22.237,7.713,1
2009-06-30,36.822,22.547,12.022,39.619,42.518,-1.429,5.217,18.643,13.045,7.504,-1
2009-07-01,15.199,22.293,26.821,57.57,38.412,36.822,22.547,12.022,39.619,42.518,1
2009-07-02,12.44,27.493,20.003,32.134,23.683,15.199,22.293,26.821,57.57,38.412,-2
2009-07-06,-1.376,30.824,16.744,10.858,1.696,-10.963,15.422,33.572,9.132,6.288,1
2009-07-07,21.204,15.092,22.131,38.57,26.626,-1.376,30.824,16.744,10.858,1.696,-2
2009-07-08,22.177,33.323,31.178,45.138,35.605,21.204,15.092,22.131,38.57,26.626,1
2009-07-09,15.215,16.692,3.984,9.584,11.938,22.177,33.323,31.178,45.138,35.605,0
2009-07-10,26.626,18.454,3.327,29.339,23.913,15.215,16.692,3.984,9.584,11.938,-1
2009-07-13,2.007,-8.119,4.419,20.629,11.451,5.144,13.181,25.778,24.36,10.257,2
2009-07-14,30.701,21.396,15.895,31.491,34.491,2.007,-8.119,4.419,20.629,11.451,1
2009-07-15,26.382,4.795,-1.727,42.607,34.306,30.701,21.396,15.895,31.491,34.491,2
2009-07-16,32.921,29.227,23.892,46.409,43.392,26.382,4.795,-1.727,42.607,34.306,1
2009-07-17,8.321,20.984,20.566,29.171,17.051,32.921,29.227,23.892,46.409,43.392,1
2009-07-20,8.687,13.449,25.767,38.908,24.57,20.495,-0.355,23.31,33.351,27.928,1
2009-07-21,7.859,0.236,27.4,25.394,17.01,8.687,13.449,25.767,38.908,24.57,1
2009-07-22,49.19,15.266,27.983,63.228,60.245,7.859,0.236,27.4,25.394,17.01,-1
