#Date,news positivity,news negativity,yesterday news positivity, yesterday news negativity,stock change
2011-04-28,9.8289163239,11.8776251046,8.6811506321,9.3950369413,1
2011-04-29,9.7819716458,13.7710154787,9.8289163239,11.8776251046,1
2011-05-02,9.202402869,15.2595362276,11.0670873346,10.2140829248,0
2011-05-03,8.1410317779,10.5770428234,9.202402869,15.2595362276,0
2011-05-04,6.8783530691,14.3883286072,8.1410317779,10.5770428234,-1
2011-05-05,8.9655542831,15.0610493673,6.8783530691,14.3883286072,-1
2011-05-06,15.5147967038,16.1044740119,8.9655542831,15.0610493673,1
2011-05-09,12.2592869214,16.2464478102,8.6569301823,14.8960565121,1
2011-05-10,11.7482459534,17.3988276633,12.2592869214,16.2464478102,1
2011-05-11,8.5099422808,12.1412439921,11.7482459534,17.3988276633,-1
2011-05-12,13.3744365243,21.1479572035,8.5099422808,12.1412439921,1
2011-05-13,8.9078410898,16.2701745974,13.3744365243,21.1479572035,-1
2011-05-16,9.1031469971,12.0591684814,10.930109229,15.7261915168,-1
2011-05-17,6.4590365431,14.6386305076,9.1031469971,12.0591684814,-1
2011-05-18,11.4544737255,13.9935679695,6.4590365431,14.6386305076,1
2011-05-19,8.3234730662,11.2631119318,11.4544737255,13.9935679695,1
2011-05-20,9.3369881137,8.1293491444,8.3234730662,11.2631119318,-1
2011-05-23,7.6581719056,15.7401743515,11.7265840102,14.2569669537,-1
2011-05-24,7.4175126502,9.693058781,7.6581719056,15.7401743515,-1
2011-05-25,12.0003957726,16.1221143228,7.4175126502,9.693058781,1
2011-05-26,12.4203636851,15.3435986969,12.0003957726,16.1221143228,0
2011-05-27,9.1932158657,11.2043897705,12.4203636851,15.3435986969,1
2011-05-31,8.6121518467,10.6774614275,9.3870466231,14.257794566,1
2011-06-01,16.6880057417,21.0666040862,8.6121518467,10.6774614275,-2
2011-06-02,11.7496689925,17.8152806072,16.6880057417,21.0666040862,-1
2011-06-03,7.7086134792,11.8844913484,11.7496689925,17.8152806072,-1
2011-06-06,10.8582507396,11.0482636542,11.3089970562,11.4402324435,-1
2011-06-07,7.3471183361,10.5428201797,10.8582507396,11.0482636542,-1
2011-06-08,11.8966314862,13.1532414749,7.3471183361,10.5428201797,-1
2011-06-09,8.6411025653,14.4302932446,11.8966314862,13.1532414749,1
2011-06-10,9.3562217052,9.5206946567,8.6411025653,14.4302932446,-2
