#Date,yesterday news positivity, yesterday news negativity,stock change
2010-03-24,12.8660174909,14.8309098083,-1
2010-03-25,9.9948491393,17.2882973564,0
2010-03-26,11.9692009556,12.7493815664,0
2010-03-29,9.8838426799,16.8115379281,1
2010-03-30,10.9769499979,12.33545571,0
2010-03-31,10.9406958094,14.3703526965,-1
2010-04-01,10.355138489,13.3836952059,1
2010-04-05,9.3726970082,15.1381249858,1
2010-04-06,5.4211897587,11.0786031731,0
2010-04-07,13.7860709175,15.5444455037,-1
2010-04-08,10.5922490625,16.1603080712,1
2010-04-09,10.4023328795,14.1388458823,1
2010-04-12,8.2019639482,12.3384137905,0
2010-04-13,13.8893705262,15.7797784137,0
2010-04-14,9.7246405188,11.8130778308,1
2010-04-15,8.2043764548,13.0001325778,1
2010-04-16,9.2969015451,13.539630227,-1
2010-04-19,13.2590096639,13.7521731075,1
2010-04-20,11.8188190492,15.4191713409,1
2010-04-21,11.2037973354,11.2130177965,0
2010-04-22,10.2002122103,12.5366311515,1
2010-04-23,11.5188066091,15.0863267343,1
2010-04-26,9.4201339292,9.4398367728,0
2010-04-27,9.6261600051,13.1760086689,-2
2010-04-28,8.61692211,7.427512175,1
2010-04-29,15.549311409,18.4497649332,1
2010-04-30,11.5258211178,16.0306397651,-2
2010-05-03,11.4190354445,14.9841631319,2
2010-05-04,11.6099581397,12.2021983311,-2
2010-05-05,10.0516410432,9.8823676663,-1
2010-05-06,11.7634734842,13.8822159074,-2
2010-05-07,12.6050474583,12.7432845666,-1
2010-05-10,9.2717804827,12.4354250767,2
2010-05-11,13.1335285868,15.1446530522,-1
2010-05-12,11.3211057663,12.292845099,2
2010-05-13,10.8518480429,12.8714813608,-1
2010-05-14,12.9089475054,14.4863799872,-2
2010-05-17,9.6995693552,18.4321549618,0
2010-05-18,10.2306721564,13.0948263978,-1
2010-05-19,12.4960928426,14.4622678314,-1
2010-05-20,11.3511844714,14.209485037,-2
2010-05-21,8.7242740744,13.2300580173,1
2010-05-24,7.3890881812,8.0960179048,-1
2010-05-25,11.0549238308,19.1033478617,-1
2010-05-26,12.6279596868,13.8748636262,-1
2010-05-27,11.4678017924,13.9052244015,2
2010-05-28,9.8229138907,12.5616905787,-1
2010-06-01,8.9271215978,17.8451356384,-1
2010-06-02,9.8928579072,12.0278239109,2
2010-06-03,14.942793462,18.2956832021,0
2010-06-04,8.4936928655,11.4728398644,-2
2010-06-07,8.96809513,11.7100401947,-1
2010-06-08,8.2850170556,13.1333845107,1
2010-06-09,9.204885372,13.9820157171,-1
2010-06-10,13.9949409781,13.6101486368,2
2010-06-11,10.303702304,17.1417696472,1
2010-06-14,9.6957839519,15.8781299404,-1
2010-06-15,10.0930886473,16.4917314155,2
2010-06-16,12.7068007197,16.1181795084,0
2010-06-17,9.7780435693,15.6149188162,1
2010-06-18,9.2391530266,7.8145578787,1
2010-06-21,9.5941054296,11.6358039893,0
2010-06-22,12.4817583089,16.68589472,-2
2010-06-23,12.4391029363,16.7040114651,0
2010-06-24,9.8667781176,11.7481827195,-2
2010-06-25,10.2873083091,11.7275450475,0
2010-06-28,10.4524410087,15.5550567962,0
2010-06-29,12.742430026,16.0016673775,-2
2010-06-30,9.9529706109,13.7962420585,-1
2010-07-01,16.103368978,22.5092816891,-1
2010-07-02,12.4598605522,10.3095761389,-1
2010-07-06,11.4323313409,13.8433389862,1
2010-07-07,8.9584175064,11.9505682542,2
2010-07-08,7.8435110228,14.0101755496,1
2010-07-09,12.0683331077,12.9582337657,1
2010-07-12,5.6573282739,10.5773927488,1
2010-07-13,9.8213245486,15.4620750594,2
2010-07-14,8.5133065386,14.0699225356,0
2010-07-15,11.021952078,16.521349053,0
2010-07-16,13.5337398457,16.8550218583,-2
2010-07-19,11.5310640379,18.001397945,1
2010-07-20,12.3919175518,13.1940828009,1
2010-07-21,15.1716911967,12.4405783398,-1
2010-07-22,11.7074155896,14.8884940766,2
2010-07-23,9.2207316658,10.4711582932,1
2010-07-26,9.5844563419,12.677008929,1
2010-07-27,12.5082315098,14.2139166448,0
2010-07-28,11.0938825347,14.3346519425,-1
2010-07-29,11.3413756545,16.513531802,-1
2010-07-30,11.5858273706,10.7485708637,0
2010-08-02,11.5451245745,16.413297113,2
2010-08-03,10.2132246565,16.9639539074,-1
2010-08-04,11.8082640966,17.4674940549,1
2010-08-05,7.2374441531,9.3647612804,0
2010-08-06,11.179382864,13.2011710397,-1
2010-08-09,8.5881628292,9.7699998717,1
2010-08-10,10.2196000244,16.6590707604,-1
2010-08-11,11.0715907281,17.1485397317,-2
2010-08-12,8.2919390703,11.4574085645,-1
2010-08-13,8.4983437557,16.5225856014,-1
2010-08-16,7.6313581049,11.553652704,0
2010-08-17,11.177477134,11.57493347,1
2010-08-18,12.0250586487,12.8016499164,1
2010-08-19,6.9932353852,9.3559439764,-1
2010-08-20,9.3133942855,12.7734982134,-1
2010-08-23,11.918956519,12.6655638161,-1
2010-08-24,10.1844396229,10.0324252484,-1
2010-08-25,12.8920976583,19.2272083489,1
2010-08-26,9.970206993,13.4385862314,-1
2010-08-27,6.2686012574,7.4469029838,2
2010-08-30,7.6236749626,12.279837003,-1
2010-08-31,9.9415089362,10.6895365831,0
2010-09-01,11.0211876705,15.3283195329,2
2010-09-02,10.1525835706,10.6552691421,1
2010-09-03,12.5932638502,13.745084425,1
2010-09-07,10.6864865631,12.4835578285,-1
2010-09-08,13.2395115825,12.0448519485,1
2010-09-09,14.6965844618,16.0803813455,1
2010-09-10,7.3469282946,7.1483284853,1
2010-09-13,17.9642598822,20.0610121113,1
2010-09-14,9.4233500719,12.1988492913,-1
2010-09-15,10.5317996864,12.6516993965,1
2010-09-16,5.2710559501,8.6342026101,1
2010-09-17,11.6362158724,14.8635804778,0
2010-09-20,10.2813233315,16.5447681437,2
2010-09-21,13.2504857633,17.601296764,0
2010-09-22,11.5017266216,10.4684764271,-1
2010-09-23,9.2124071083,12.2816234991,-1
2010-09-24,12.7475103709,13.9013213202,2
2010-09-27,8.6029894372,11.7496118755,-1
2010-09-28,9.2270971877,12.8765705622,1
2010-09-29,7.1382969875,12.2701040578,-1
2010-09-30,7.3920667224,10.5992775091,-1
2010-10-01,8.4799879049,8.5377922577,1
2010-10-04,11.3955749847,15.4045893276,-1
2010-10-05,12.2148075606,19.0125484746,2
2010-10-06,10.2078131484,15.9864353807,1
2010-10-07,17.5258532303,19.2286937727,-1
2010-10-08,10.5851977697,13.1641417459,1
2010-10-11,10.2425326806,15.2660089147,0
2010-10-12,16.0222914774,20.6639504759,0
2010-10-13,10.3852054819,15.5911812422,1
2010-10-14,10.1633663973,16.4176590894,0
2010-10-15,19.0385271364,19.4106980556,-1
2010-10-18,16.8668027113,15.9236806244,1
2010-10-19,10.4416257571,13.2060492893,-2
2010-10-20,13.0726301585,15.6484814765,1
2010-10-21,13.8100402592,12.6908099863,1
2010-10-22,11.4728810296,12.9657124511,0
2010-10-25,10.958534953,14.9466750644,1
2010-10-26,7.9291076157,10.4487685517,0
2010-10-27,8.716381275,19.7688269196,-1
2010-10-28,9.1344088258,14.5294139659,0
2010-10-29,8.0278032037,16.3143513084,0
2010-11-01,11.6312084284,16.7671699371,0
2010-11-02,9.1682220966,15.0998934937,1
2010-11-03,13.0324377795,13.673567182,1
2010-11-04,12.6560009726,10.656162456,2
2010-11-05,9.9362591554,15.2752375741,0
2010-11-08,10.8752093919,13.3020683717,-1
2010-11-09,12.8929115168,17.1910467018,-1
2010-11-10,11.5844823652,12.7750779842,1
2010-11-11,13.8484788885,19.0868856846,-1
2010-11-12,12.5096368685,13.9612872532,-1
2010-11-15,13.7481990855,16.1838727104,0
2010-11-16,9.872514701,12.9549707091,-2
2010-11-17,11.5873861386,16.6564126441,0
2010-11-18,11.823934958,13.0757668699,2
2010-11-19,8.1779137893,10.2541991681,1
2010-11-22,11.7687939927,10.3531098016,-1
2010-11-23,11.8535625071,15.3417710869,-2
2010-11-24,8.2143277216,10.7260466296,2
2010-11-26,8.6282200363,10.381609174,-1
2010-11-29,9.1260029115,12.6066596246,-1
2010-11-30,9.1315389693,19.7362533353,-1
2010-12-01,12.3352656171,21.7478232656,2
2010-12-02,9.0952855593,12.0604045839,1
2010-12-03,10.7687794817,12.5338535014,1
2010-12-06,12.7255507324,14.5118423467,-1
2010-12-07,14.502716284,17.023850835,0
2010-12-08,11.7524682211,18.755295451,1
2010-12-09,11.5717310678,10.9811164335,0
2010-12-10,14.8069156509,14.5366397119,1
2010-12-13,9.6708336264,14.3000903915,1
2010-12-14,11.2862956576,13.0313392703,1
2010-12-15,8.0138127107,11.4339169462,-1
2010-12-16,9.2198752608,11.4447615736,1
2010-12-17,9.7369331336,14.71648072,0
2010-12-20,12.8190499965,12.897057048,0
2010-12-21,10.4420545738,11.3641984383,1
2010-12-22,12.6457758207,15.6268603585,1
