#Date,news positivity,news negativity,stock change
2009-08-26,9.0505664363,12.4354340071,0
2009-08-27,11.8465500606,16.1086380464,1
2009-08-28,12.2437590106,12.0996383288,-1
2009-08-31,9.4490475401,13.0212044238,-1
2009-09-01,11.3067245232,10.9630355615,-2
2009-09-02,8.3614011347,9.2979646386,-1
2009-09-03,11.6737696307,10.7574811758,1
2009-09-04,8.9237045027,12.4695446372,1
2009-09-08,14.2732081371,13.8487297678,1
2009-09-09,7.6578140826,9.5517583186,1
2009-09-10,14.1444818248,16.7864920494,1
2009-09-11,11.9279197309,15.4580636501,-1
2009-09-14,19.1653137053,20.4360501541,1
2009-09-15,9.6867761012,11.0705324313,1
2009-09-16,10.8033114819,16.1564151318,1
2009-09-17,9.0699769311,13.2533768894,0
2009-09-18,10.1755296575,14.4411686171,1
2009-09-21,12.6437882091,13.4798254087,-1
2009-09-22,11.5057063799,11.4341294314,1
2009-09-23,14.5399959498,14.9155273286,-1
2009-09-24,16.107129781,20.0192814312,-1
2009-09-25,13.9028505919,14.5984410473,-1
2009-09-28,9.2758214663,9.2716392379,1
2009-09-29,12.2746976983,16.9038625598,-1
2009-09-30,6.6129972443,16.9530463739,-1
2009-10-01,11.3280758241,14.6261683556,-2
2009-10-02,10.564312531,15.6899488836,-1
2009-10-05,14.9697171149,17.258437677,1
2009-10-06,14.2299588675,14.8227955804,1
2009-10-07,12.5319774383,17.4122488705,0
2009-10-08,13.9508204662,13.7934750669,1
2009-10-09,10.5330490916,11.6818501862,1
2009-10-12,11.7084397036,15.0514675555,1
2009-10-13,9.283879462,11.8850001673,0
2009-10-14,11.2950879531,14.1254052899,2
2009-10-15,12.2088961432,14.0384532666,1
2009-10-16,14.34951612,19.0098671772,-1
2009-10-19,16.1220118625,14.0134887231,1
2009-10-20,13.8847669511,11.7036205782,-1
2009-10-21,14.7264373938,15.1840386417,-1
2009-10-22,11.4272010727,12.1445055343,1
2009-10-23,15.6575642219,19.4187015405,-1
2009-10-26,12.3068406117,15.2835370114,-1
2009-10-27,13.1285624504,15.609114333,0
2009-10-28,11.7422333625,12.6486139287,-1
2009-10-29,12.042343241,12.4300401642,2
2009-10-30,11.6306578498,15.4823432629,-2
2009-11-02,10.1163740534,14.8369008023,1
2009-11-03,16.3498677192,21.1442633247,-1
2009-11-04,8.9474118194,15.6539857812,1
2009-11-05,6.903025109,13.0829319089,2
2009-11-06,11.0343297256,15.7158790945,1
2009-11-09,12.0625642386,13.2118941031,2
2009-11-10,11.2490995985,19.346829298,1
2009-11-11,13.0610159881,14.4047291879,1
2009-11-12,10.2048560613,13.438983655,-1
2009-11-13,17.7131146427,21.6243589812,1
2009-11-16,10.1592605112,11.8850100085,1
2009-11-17,13.3836991032,11.2055810815,1
2009-11-18,7.4471910285,11.5627602157,0
2009-11-19,14.6867196346,15.0440240836,-1
2009-11-20,11.1932455397,10.6632779529,0
2009-11-23,9.6069250824,15.7674138309,1
2009-11-24,12.86347075,18.0519702381,-1
2009-11-25,9.1128537726,12.2608761147,1
2009-11-27,10.3689301221,12.6916241026,-2
2009-11-30,12.5020908184,15.8436046947,1
2009-12-01,12.919470987,18.451317193,1
2009-12-02,11.0120261687,18.3258384141,-1
2009-12-03,8.3732060805,11.2152181699,-1
2009-12-04,8.4642101995,12.9372649137,1
2009-12-07,9.7500341932,11.7505330014,0
2009-12-08,9.3265102835,10.5172764451,-1
2009-12-09,9.1319500982,8.9775729251,1
2009-12-10,11.5664271177,15.0694529987,1
2009-12-11,9.8199847885,15.0376305796,1
2009-12-14,10.9851269161,14.0971968675,1
2009-12-15,13.143262598,16.823166992,-1
2009-12-16,10.0502140544,11.7076510559,0
2009-12-17,14.7698855635,19.7028833926,-1
2009-12-18,10.0393146435,14.6193804061,1
2009-12-21,9.3002998023,11.5390329528,1
2009-12-22,14.6924218655,18.212214448,1
2009-12-23,9.0814256232,11.147789277,0
2009-12-24,6.7416780268,8.7380211241,1
2009-12-28,12.6680994892,15.6987860811,1
2009-12-29,8.2331217002,9.0552262788,0
2009-12-30,9.470410261,9.5559536478,0
2009-12-31,13.9447010854,13.3878185446,-1
2010-01-04,12.5947490743,17.0436828282,2
2010-01-05,11.2272621599,13.0103682684,0
2010-01-06,14.1890727976,17.7039172582,0
