#Date,prev news pleasantness,prev news attention,prev news sensitivity,prev news aptitude,prev news polarity,stock change
2009-06-26,50.332,11.74,-1.537,70.917,63.651,0
2009-06-29,-9.504,16.28,23.764,22.237,7.713,1
2009-06-30,-1.429,5.217,18.643,13.045,7.504,-1
2009-07-01,36.822,22.547,12.022,39.619,42.518,1
2009-07-02,15.199,22.293,26.821,57.57,38.412,-2
2009-07-06,-10.963,15.422,33.572,9.132,6.288,1
2009-07-07,-1.376,30.824,16.744,10.858,1.696,-2
2009-07-08,21.204,15.092,22.131,38.57,26.626,0
2009-07-09,22.177,33.323,31.178,45.138,35.605,0
2009-07-10,15.215,16.692,3.984,9.584,11.938,-1
2009-07-13,5.144,13.181,25.778,24.36,10.257,2
2009-07-14,2.007,-8.119,4.419,20.629,11.451,0
2009-07-15,30.701,21.396,15.895,31.491,34.491,2
2009-07-16,26.382,4.795,-1.727,42.607,34.306,1
2009-07-17,32.921,29.227,23.892,46.409,43.392,0
2009-07-20,20.495,-0.355,23.31,33.351,27.928,1
2009-07-21,8.687,13.449,25.767,38.908,24.57,1
2009-07-22,7.859,0.236,27.4,25.394,17.01,0
2009-07-23,49.19,15.266,27.983,63.228,60.245,2
2009-07-24,7.822,13.579,14.1,18.538,9.946,0
2009-07-27,5.826,9.582,16.217,15.227,13.406,0
2009-07-28,19.995,-0.71,14.037,48.328,36.431,0
2009-07-29,28.971,5.98,10.3,46.58,32.674,0
2009-07-30,22.363,13.378,8.252,24.991,17.977,1
2009-07-31,12.661,8.437,8.898,60.146,37.828,0
2009-08-03,39.854,27.415,26.979,45.326,46.461,1
2009-08-04,1.502,11.512,7.856,27.287,15.729,0
2009-08-05,36.963,18.231,2.966,45.58,42.578,0
2009-08-06,13.141,20.962,27.169,41.033,29.292,0
2009-08-07,7.966,28.191,29.561,22.655,17.979,1
2009-08-10,23.887,16.859,12.756,38.856,31.725,0
2009-08-11,14.27,22.729,21.832,38.432,28.784,-1
2009-08-12,18.31,12.094,20.082,53.223,37.767,1
2009-08-13,33.852,3.237,14.146,39.542,40.06,1
2009-08-14,17.084,45.404,25.04,25.878,24.491,-1
2009-08-17,25.104,23.36,17.474,54.368,44.222,-2
2009-08-18,14.752,25.001,20.264,24.733,21.051,1
2009-08-19,57.243,18.593,19.186,76.23,70.201,1
2009-08-20,51.51,12.971,15.713,49.645,49.916,1
2009-08-21,33.489,32.747,19.812,72.685,54.868,2
2009-08-24,34.158,16.134,18.51,38.469,37.532,0
2009-08-25,48.457,25.832,27.055,57.66,51.299,0
2009-08-26,22.988,16.475,16.306,44.449,36.282,0
2009-08-27,18.035,14.934,26.344,17.589,16.112,1
2009-08-28,20.944,36.75,22.565,31.406,25.897,-1
2009-08-31,27.808,11.098,24.028,39.575,32.371,-1
2009-09-01,30.232,4.711,29.023,49.749,40.846,-2
2009-09-02,44.665,9.962,27.277,64.183,51.445,0
2009-09-03,34.499,3.625,15.426,49.718,39.172,1
2009-09-04,25.44,31.24,31.985,39.142,29.467,1
2009-09-08,38.205,3.977,20.76,50.295,49.766,1
2009-09-09,39.58,26.112,17.943,57.185,57.277,1
2009-09-10,12.727,27.912,33.764,39.606,25.945,1
2009-09-11,30.368,21.851,6.296,70.665,51.767,0
2009-09-14,-5.227,20.385,10.569,1.878,-0.941,0
2009-09-15,53.592,29.675,10.296,98.932,81.04,1
2009-09-16,25.364,24.245,22.331,28.24,25.753,1
2009-09-17,35.634,24.902,31.027,40.784,40.105,0
2009-09-18,-0.301,14.669,11.673,18.375,10.524,1
2009-09-21,14.328,19.969,18.561,25.654,23.117,-1
2009-09-22,45.404,32.872,16.826,63.835,60.024,1
2009-09-23,22.5,19.937,17.022,30.684,28.129,-1
2009-09-24,32.242,20.652,25.503,33.74,30.712,-1
2009-09-25,19.829,15.822,27.748,45.586,35.663,-1
2009-09-28,16.336,16.97,15.9,44.236,31.262,1
2009-09-29,-0.64,5.721,37.935,15.75,7.071,-1
2009-09-30,15.806,26.394,20.114,17.575,21.187,0
2009-10-01,-3.609,-5.943,28.307,12.562,7.568,-2
2009-10-02,37.738,-2.859,17.498,47.874,45.298,0
2009-10-05,34.028,13.295,-3.06,60.112,49.34,1
2009-10-06,32.231,21.135,25.602,45.436,43.262,1
2009-10-07,11.67,17.992,31.734,34.06,24.184,0
2009-10-08,44.01,14.859,12.166,69.852,58.989,1
2009-10-09,25.631,16.456,45.659,39.292,31.267,1
2009-10-12,12.015,11.671,12.026,44.992,29.08,0
2009-10-13,25.91,19.391,22.084,40.296,34.698,0
2009-10-14,9.837,16.106,32.111,22.307,21.529,2
2009-10-15,8.539,28.002,11.975,36.167,17.541,1
2009-10-16,33.643,31.188,27.899,60.847,49.446,-1
2009-10-19,18.724,3.54,1.497,40.811,28.116,1
2009-10-20,47.799,16.565,3.489,71.601,60.288,-1
2009-10-21,32.814,17.152,25.341,64.741,51.528,-1
2009-10-22,54.667,7.597,49.396,69.953,64.67,1
2009-10-23,29.846,13.14,32.16,39.09,32.117,-1
2009-10-26,53.84,44.582,41.007,87.629,71.647,-1
2009-10-27,32.015,-15.27,14.81,40.251,37.736,0
2009-10-28,38.648,25.632,18.933,30.126,33.639,-1
2009-10-29,45.382,31.198,3.359,55.732,52.719,2
2009-10-30,43.601,21.703,31.795,56.68,51.64,-2
2009-11-02,20.998,20.781,19.092,34.188,30.312,1
2009-11-03,44.551,-2.979,-5.513,63.026,53.608,0
2009-11-04,16.885,3.418,37.924,24.165,25.886,0
2009-11-05,11.955,28.836,21.077,37.465,30.561,2
2009-11-06,10.362,26.007,14.046,34.808,25.271,0
2009-11-09,26.121,-3.473,7.472,35.717,29.054,2
2009-11-10,38.21,19.491,40.784,62.844,52.996,0
2009-11-11,4.562,25.421,12.565,25.571,19.944,1
2009-11-12,17.233,16.267,28.692,30.082,24.052,-1
2009-11-13,13.701,0.399,31.566,26.342,22.719,1
2009-11-16,40.238,10.383,21.418,67.295,55.17,1
2009-11-17,0.672,41.274,15.992,25.089,15.805,0
2009-11-18,18.326,1.418,33.103,36.976,29.991,0
2009-11-19,34.455,-2.105,11.458,61.349,51.204,-1
2009-11-20,2.01,25.565,1.814,24.804,11.426,0
2009-11-23,18.326,29.795,19.546,55.334,41.606,1
2009-11-24,-1.015,4.939,17.724,36.1,22.7,0
2009-11-25,32.635,19.052,27.551,65.397,51.977,0
2009-11-27,23.176,45.686,40.552,52.678,39.193,-2
2009-11-30,31.739,45.48,25.338,60.76,44.043,0
2009-12-01,31.384,11.029,14.522,53.463,44.211,1
2009-12-02,7.865,16.515,44.699,23.193,16.827,0
2009-12-03,12.125,28.487,20.707,23.289,20.426,-1
2009-12-04,29.843,19.951,8.768,38.583,36.944,0
2009-12-07,14.969,9.716,45.058,48.208,35.265,0
2009-12-08,15.45,22.378,11.844,25.057,26.127,-1
2009-12-09,12.516,2.638,16.456,28.078,25.03,1
2009-12-10,-0.26,20.827,10.043,16.146,4.675,1
2009-12-11,48.052,16.974,18.495,41.562,44.981,1
2009-12-14,34.541,-1.563,47.034,49.507,39.73,0
2009-12-15,22.429,7.417,26.098,37.719,26.944,-1
2009-12-16,-0.22,4.24,22.757,37.833,22.98,0
2009-12-17,12.027,12.285,22.031,17.852,13.848,-1
2009-12-18,37.208,3.714,12.319,45.44,45.461,0
2009-12-21,15.411,39.47,34.707,40.515,22.377,1
2009-12-22,0.499,28.116,16.681,22.882,14.925,1
2009-12-23,30.421,29.902,29.31,30.978,33.669,0
2009-12-24,32.474,20.821,17.526,36.833,33.477,1
2009-12-28,20.549,32.074,24.227,29.761,24.431,0
2009-12-29,50.066,-2.034,28.355,79.279,66.96,0
2009-12-30,0.478,29.66,19.826,25.617,19.078,0
2009-12-31,46.569,21.121,-6.232,62.718,56.056,-1
2010-01-04,32.271,38.31,35.363,67.588,52.172,2
2010-01-05,30.818,20.669,11.568,63.127,50.22,0
2010-01-06,10.604,5.655,19.614,18.701,18.741,0
2010-01-07,53.498,39.231,6.167,87.451,72.245,1
2010-01-08,35.707,0.782,12.424,53.13,44.753,0
2010-01-11,10.075,25.258,25.22,0.154,6.015,1
2010-01-12,20.208,12.48,38.194,43.231,35.523,-1
2010-01-13,4.524,8.554,17.486,26.123,21.034,1
2010-01-14,31.48,27.674,-1.251,52.817,41.159,0
2010-01-15,23.663,39.253,23.353,45.85,33.906,-1
2010-01-19,23.99,10.291,24.365,52.518,37.674,1
2010-01-20,37.758,21.692,4.331,68.879,55.655,-1
2010-01-21,44.586,36.416,22.496,65.468,61.219,-2
2010-01-22,20.796,1.206,21.063,73.36,55.053,-2
2010-01-25,15.956,12.442,18.436,59.077,39.145,0
2010-01-26,11.608,27.807,8.801,42.631,29.806,0
2010-01-27,12.132,4.346,26.194,27.744,18.636,1
2010-01-28,-2.838,12.704,24.078,11.966,6.27,-1
2010-01-29,-7.449,28.616,25.605,21.362,13.186,-1
2010-02-01,-1.05,12.406,26.174,14.618,6.35,1
2010-02-02,0.635,6.93,37.059,27.083,14.522,1
2010-02-03,9.357,15.294,4.939,39.401,25.555,0
2010-02-04,22.375,16.339,11.582,38.363,31.246,-2
2010-02-05,3.898,10.499,16.809,18.414,13.272,0
2010-02-08,40.115,19.836,32.528,61.732,60.388,-1
2010-02-09,35.847,-0.586,0.183,77.598,56.067,2
2010-02-10,4.6,38.166,39.074,7.585,9.43,0
2010-02-11,2.643,29.351,19.933,37.177,21.79,1
2010-02-12,22.138,20.926,22.069,26.305,27.081,-1
2010-02-16,46.485,40.928,7.638,61.274,54.269,2
2010-02-17,-5.909,5.811,20.925,10.389,3.34,1
2010-02-18,-3.952,1.862,27.975,37.16,22.166,1
2010-02-19,21.16,4.268,38.337,59.7,43.159,0
2010-02-22,28.822,20.779,7.349,42.361,39.359,0
2010-02-23,8.508,-15.521,29.884,20.536,15.932,-1
2010-02-24,17.346,19.067,29.219,37.394,31.615,1
2010-02-25,53.153,17.802,13.354,68.296,65.338,-1
2010-02-26,28.681,-2.897,17.673,33.247,30.155,0
2010-03-01,0.114,6.665,17.542,24.958,17.326,1
2010-03-02,19.493,-10.002,25.325,46.087,35.807,0
2010-03-03,22.007,12.595,15.479,53.667,38.99,0
2010-03-04,17.907,22.789,25.993,12.932,14.047,1
2010-03-05,39.755,18.347,4.075,61.898,54.367,1
2010-03-08,3.21,13.151,6.237,24.229,16.058,0
2010-03-09,19.915,13.062,16.624,45.681,36.124,0
2010-03-10,38.715,28.805,16.632,64.724,52.403,0
2010-03-11,28.069,1.398,13.003,39.054,28.125,1
2010-03-12,31.607,4.085,22.792,40.255,35.772,0
2010-03-15,21.417,27.491,10.848,49.34,35.491,0
2010-03-16,24.773,18.767,19.496,45.254,37.57,1
2010-03-17,24.628,10.514,20.529,46.172,32.843,1
2010-03-18,10.398,26.628,26.285,22.376,21.491,1
2010-03-19,41.341,13.442,7.724,66.37,57.023,-1
2010-03-22,28.815,-0.742,10.607,23.798,21.432,1
2010-03-23,30.351,17.419,8.222,60.436,48.468,1
2010-03-24,19.59,24.716,29.459,46.745,28.816,-1
2010-03-25,18.857,14.374,20.698,29.396,28.753,0
2010-03-26,19.338,15.393,19.306,28.904,22.951,0
2010-03-29,7.672,16.604,13.648,9.014,5.451,1
2010-03-30,6.436,17.475,34.801,8.987,6.036,0
2010-03-31,3.516,13.287,12.893,34.9,19.767,-1
2010-04-01,12.89,-4.765,17.816,21.016,15.567,1
2010-04-05,16.506,21.83,32.26,53.008,34.538,1
2010-04-06,0.794,27.553,20.099,0.91,5.081,0
2010-04-07,18.367,11.757,27.26,17.726,18.139,-1
2010-04-08,-18.625,8.427,13.978,-8.094,-13.354,0
2010-04-09,22.573,21.649,26.791,34.185,30.201,1
2010-04-12,24.051,-16.11,25.913,35.279,34.182,0
2010-04-13,60.081,25.307,6.215,62.977,62.999,0
2010-04-14,33.636,7.267,15.697,57.194,49.251,1
2010-04-15,29.957,27.092,6.844,28.179,32.155,0
2010-04-16,29.005,14.974,14.575,63.955,47.682,-1
2010-04-19,40.665,7.439,10.448,48.514,43.434,1
2010-04-20,68.15,2.661,0.786,85.978,75.156,0
2010-04-21,20.551,34.772,-7.601,42.217,34.847,0
2010-04-22,18.184,15.341,26.396,32.691,28.541,0
2010-04-23,46.214,20.123,38.828,45.781,50.561,1
2010-04-26,14.336,19.821,13.238,19.278,17.675,0
2010-04-27,33.053,1.957,8.14,31.741,33.025,-2
2010-04-28,31.464,19.697,19.825,47.405,41.401,1
2010-04-29,17.953,31.399,25.521,40.771,34.041,1
2010-04-30,18.619,26.624,27.056,33.214,29.178,-2
2010-05-03,37.718,14.887,-3.35,64.495,51.497,2
2010-05-04,35.955,25.768,30.741,52.101,50.708,-2
2010-05-05,16.861,19.265,18.641,44.066,32.719,-1
2010-05-06,19.558,26.196,19.211,34.176,29.06,-2
2010-05-07,38.328,19.138,21.319,55.764,46.925,-1
2010-05-10,13.237,12.568,20.24,26.801,20.071,2
2010-05-11,23.796,18.864,15.729,49.868,36.406,0
2010-05-12,39.139,0.043,21.753,54.193,45.888,2
2010-05-13,17.678,27.866,33.673,37.61,25.235,-1
2010-05-14,13.072,7.316,19.869,35.323,28.469,-2
2010-05-17,17.109,2.901,19.129,32.998,26.817,0
2010-05-18,16.935,8.779,18.892,36.707,24.786,-1
2010-05-19,31.077,25.161,33.724,57.971,42.212,-1
2010-05-20,23.439,12.885,39.56,26.224,23.128,-2
2010-05-21,23.482,19.076,9.667,40.164,32.703,1
2010-05-24,12.198,20.935,20.346,37.221,28.01,-1
2010-05-25,19.353,0.09,19.386,45.255,34.645,0
2010-05-26,9.45,39.199,32.17,42.37,29.409,-1
2010-05-27,6.95,21.987,11.34,18.562,16.577,2
2010-05-28,31.863,31.962,12.675,52.419,39.071,-1
2010-06-01,10.424,24.623,17.836,17.719,15.26,-1
2010-06-02,25.49,42.397,13.121,56.732,45.977,2
2010-06-03,34.074,24.888,20.633,34.345,34.396,0
